source_file_id,source_file,source_sha256,cohort,slice_id,genotype,roi_id,onset_index,sampling_rate_hz,n_frames,area_pixels,fluorescence_offset,baseline_f0,raw_baseline_median,baseline_method,auc_window_nominal_s,auc_samples_per_window,auc_effective_duration_s,pre_auc,post_auc,delta_auc,raw_median_shift,baseline_mad_scale,robust_z_shift,orthogonal_issue
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT5,121,0.71,213,290.24,100000,100008.225,8.225,onset_minus_70s_to_minus_10s,30,21,28.16901408,-1.999835514e-05,0.0002019552202,0.0002219535753,0.92,0.081543,11.28239089,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT6,121,0.71,213,174.55,100000,100008.295,8.295,onset_minus_70s_to_minus_10s,30,21,28.16901408,-1.908292411e-05,0.000280892193,0.0002999751171,1.36,0.126021,10.79185215,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT7,121,0.71,213,166.92,100000,100008.615,8.615,onset_minus_70s_to_minus_10s,30,21,28.16901408,-4.077113545e-05,0.0003317319847,0.0003725031201,1.68,0.140847,11.92783659,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT8,121,0.71,213,216.25,100000,100008.3,8.3,onset_minus_70s_to_minus_10s,30,21,28.16901408,-3.119459395e-05,0.0001102021208,0.0001413967148,0.58,0.096369,6.018532931,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice3_H1Rflox_GCaMP_CreRFP,WT,WT9,121,0.71,213,137.76,100000,100008.13,8.13,onset_minus_70s_to_minus_10s,30,21,28.16901408,-3.661674138e-06,0.0001521003103,0.0001557619844,0.49,0.111195,4.406672962,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,KO,KO1,95,0.71,213,373.23,100000,68630.14,-31369.86,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.009758164931,1.707704618,1.697946454,5046.92,103.55961,48.73444386,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,KO,KO2,95,0.71,213,236.69,100000,68528.755,-31471.245,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.01332092196,0.6066029724,0.5932820505,1381.34,114.582741,12.05539323,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,KO,KO3,95,0.71,213,378.27,100000,68537.255,-31462.745,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.03954742324,1.008138145,0.9685907219,2510.77,58.703547,42.77032868,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,KO,KO4,95,0.71,213,326.35,100000,68598.815,-31401.185,onset_minus_70s_to_minus_10s,30,21,28.16901408,5.54356063e-05,1.342804578,1.342749142,3341.82,79.178253,42.20628611,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,WT,WT1,95,0.71,213,218.84,100000,68622.685,-31377.315,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.01730446533,0.6072155376,0.5899110723,1507.18,129.779391,11.61340016,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,WT,WT2,95,0.71,213,251.27,100000,68562.99,-31437.01,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.006701660991,0.5227590357,0.5160573747,1141.84,72.232272,15.80789263,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,WT,WT3,95,0.71,213,170.47,100000,68468.97,-31531.03,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.01195781734,0.2291459522,0.2171881348,518.78,120.261099,4.313780635,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,WT,WT4,95,0.71,213,126.32,100000,68358.55,-31641.45,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.009211063277,0.3504044607,0.3411933974,1033.06,96.354174,10.72148675,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,WT,WT5,95,0.71,213,87.75,100000,68357.94,-31642.06,onset_minus_70s_to_minus_10s,30,21,28.16901408,-0.0161325624,0.2912002924,0.3073328548,886.31,126.532497,7.004603726,
4342954,Fig5_H1RKO_NE_postLowHA.mat,d39c8e8453996d5f3abdc42eed0b4ea4b6485b5e142719d4128f9683972621eb,post_low_histamine_2025,AVG_040725_Slice4_H1Rflox_GCaMP_CreRFP,WT,WT6,95,0.71,213,197.45,100000,68576.41,-31423.59,onset_minus_70s_to_minus_10s,30,21,28.16901408,0.01642087282,0.8438855409,0.8274646681,2013.34,146.006448,13.789391,
